City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Cabedelo,BR,77.67,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
1,Mecca,SA,77.76,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
4,Kavieng,PG,83.59,broken clouds,-2.5744,150.7967,Nusa Island Retreat
5,Rikitea,PF,75.38,light rain,-23.1203,-134.9692,People ThankYou
8,Isangel,VU,81.93,overcast clouds,-19.55,169.2667,Tanna Lodge
10,Alibag,IN,84.27,clear sky,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
14,Hithadhoo,MV,82.02,scattered clouds,-0.6,73.0833,Scoop Guest House
16,Ixtapa,MX,70.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
21,Assis,BR,71.49,broken clouds,-22.6617,-50.4122,Santa Rosa Palace Hotel
23,Isiro,CD,78.91,light rain,2.7739,27.616,Guest House Hewa Bora
24,Santa Catalina,PH,82.42,light rain,9.3337,122.8637,BreakWater Beach Sta Catalina Negros Oriental
26,Kahului,US,73.42,clear sky,20.8947,-156.47,Maui Seaside Hotel
27,Bubaque,GW,79.0,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
28,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
30,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
31,Narok,KE,74.28,overcast clouds,-1.0783,35.8601,OLORROPIL TOWERS
37,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
45,Terra Santa,BR,73.67,overcast clouds,-2.1042,-56.4869,Hotel Sarah
47,Hilo,US,71.33,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
49,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
51,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
52,Mahanje,TZ,88.25,few clouds,-9.9333,35.3333,
54,Rio Cuarto,AR,78.67,overcast clouds,-33.1307,-64.3499,Grand Hotel Río Cuarto
58,Zorgo,BF,71.73,overcast clouds,12.2489,-0.6158,Auberge Peng-Wende De Zorgho
59,Mvuma,ZW,85.03,few clouds,-19.2792,30.5283,Nyangombe Backpackers
62,Lazaro Cardenas,MX,71.47,scattered clouds,17.9583,-102.2,quinta antigua
63,Santiago Del Estero,AR,77.52,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
65,Sao Felix Do Xingu,BR,70.09,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
67,Quelimane,MZ,93.15,clear sky,-17.8786,36.8883,Hotel Flamingo
68,Bukama,CD,80.17,scattered clouds,-9.2,25.85,
70,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
75,Lujan,AR,76.75,few clouds,-34.5703,-59.105,Hotel Biarritz
76,Port Elizabeth,ZA,75.09,few clouds,-33.918,25.5701,39 On Nile Guest House
77,Atambua,ID,80.02,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
78,Mahebourg,MU,84.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
79,Saint-Philippe,RE,84.22,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
80,Long Xuyen,VN,84.15,overcast clouds,10.3833,105.4167,Nhà Nghỉ Sài Gòn Ngày Đêm
81,Port Alfred,ZA,72.12,few clouds,-33.5906,26.891,The Halyards Hotel
84,Cape Town,ZA,71.11,light rain,-33.9258,18.4232,Southern Sun Waterfront Cape Town
86,Vaini,TO,77.16,volcanic ash,-21.2,-175.2,Keleti Beach Resort
88,Tadine,NC,79.86,overcast clouds,-21.55,167.8833,
89,Souillac,MU,85.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
90,Trimbak,IN,77.45,broken clouds,19.9333,73.55,OYO 4192 Sai Krupa Hotel
93,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
94,Meulaboh,ID,83.79,broken clouds,4.1363,96.1285,Kost Pria
96,Bredasdorp,ZA,72.72,light rain,-34.5322,20.0403,Bredasdorp Country Manor
103,Phitsanulok,TH,82.51,clear sky,16.9167,100.5,บ้านโนบิตะ พิษณุโลก
105,Hambantota,LK,85.41,broken clouds,6.1241,81.1185,Bungalow 63
110,Tura,IN,72.48,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
114,Wahiawa,US,71.92,overcast clouds,21.5028,-158.0236,Aloha Wahiawa
