City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saldanha,ZA,2021-12-24 23:15:26,-33.0117,17.9442,68.05,85,100,9.01
1,Oranjestad,AW,2021-12-24 23:12:09,12.524,-70.027,80.91,82,15,4.0
2,Kjollefjord,NO,2021-12-24 23:15:27,70.9457,27.3465,19.69,73,98,5.14
3,Byron Bay,AU,2021-12-24 23:12:00,-28.65,153.6167,81.18,71,100,6.22
4,Kruisfontein,ZA,2021-12-24 23:15:28,-34.0033,24.7314,58.89,93,92,6.55
5,Kangaatsiaq,GL,2021-12-24 23:15:28,68.3065,-53.4641,14.43,78,30,10.65
6,Longyearbyen,SJ,2021-12-24 23:15:28,78.2186,15.6401,10.24,52,0,13.8
7,Laguna,US,2021-12-24 23:15:29,38.421,-121.4238,57.25,67,75,5.01
8,Punta Arenas,CL,2021-12-24 23:11:38,-53.15,-70.9167,60.91,63,40,26.46
9,Bathsheba,BB,2021-12-24 23:15:30,13.2167,-59.5167,79.41,73,75,19.57
10,Mahebourg,MU,2021-12-24 23:15:30,-20.4081,57.7,76.24,88,20,5.75
11,Nouadhibou,MR,2021-12-24 23:15:31,20.931,-17.0347,71.58,37,0,13.8
12,Tuktoyaktuk,CA,2021-12-24 23:15:31,69.4541,-133.0374,-13.0,70,90,20.71
13,Slave Lake,CA,2021-12-24 23:15:31,55.2834,-114.769,-9.42,70,90,16.11
14,Rikitea,PF,2021-12-24 23:15:32,-23.1203,-134.9692,77.11,69,17,8.1
15,Tautira,PF,2021-12-24 23:15:32,-17.7333,-149.15,87.82,74,57,11.45
16,Torbay,CA,2021-12-24 23:15:33,47.6666,-52.7314,25.75,83,90,20.71
17,Puerto Ayora,EC,2021-12-24 23:15:33,-0.7393,-90.3518,71.33,84,93,8.79
18,Kapaa,US,2021-12-24 23:15:33,22.0752,-159.319,79.12,68,20,3.0
19,Touros,BR,2021-12-24 23:15:34,-5.1989,-35.4608,83.3,77,100,10.65
20,Janakkala,FI,2021-12-24 23:15:34,60.9,24.6,5.67,92,96,7.14
21,Katsuura,JP,2021-12-24 23:11:06,35.1333,140.3,50.02,91,100,9.73
22,Grand-Lahou,CI,2021-12-24 23:15:35,5.1367,-5.0242,79.99,81,6,6.98
23,East London,ZA,2021-12-24 23:15:36,-33.0153,27.9116,63.88,90,66,10.47
24,Barrow,US,2021-12-24 23:15:36,71.2906,-156.7887,-12.98,77,1,9.22
25,Ambulu,ID,2021-12-24 23:15:36,-8.345,113.6058,77.76,89,93,2.26
26,Marovoay,MG,2021-12-24 23:15:37,-16.1,46.6333,82.54,88,100,3.24
27,Chuy,UY,2021-12-24 23:15:37,-33.6971,-53.4616,68.65,77,0,14.83
28,Bluff,NZ,2021-12-24 23:15:38,-46.6,168.3333,55.8,56,0,3.78
29,Porto De Moz,BR,2021-12-24 23:15:38,-1.7483,-52.2383,79.05,79,52,3.71
30,Atuona,PF,2021-12-24 23:15:39,-9.8,-139.0333,78.28,77,10,11.63
31,Sitka,US,2021-12-24 23:15:39,57.0531,-135.33,28.29,34,1,10.36
