City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Cabedelo,BR,2021-12-28 08:20:58,-6.9811,-34.8339,77.67,82,46,11.45,scattered clouds
1,Mecca,SA,2021-12-28 08:24:44,21.4267,39.8261,77.76,54,96,5.68,overcast clouds
2,Tasiilaq,GL,2021-12-28 08:18:31,65.6145,-37.6368,8.76,80,11,5.28,few clouds
3,New Norfolk,AU,2021-12-28 08:25:36,-42.7826,147.0587,69.91,42,1,5.48,clear sky
4,Kavieng,PG,2021-12-28 08:27:55,-2.5744,150.7967,83.59,72,60,4.74,broken clouds
5,Rikitea,PF,2021-12-28 08:25:37,-23.1203,-134.9692,75.38,86,100,22.3,light rain
6,Thompson,CA,2021-12-28 08:20:46,55.7435,-97.8558,-14.64,76,20,6.91,few clouds
7,Albany,US,2021-12-28 08:20:52,42.6001,-73.9662,34.66,90,100,4.59,overcast clouds
8,Isangel,VU,2021-12-28 08:25:38,-19.55,169.2667,81.93,79,100,1.74,overcast clouds
9,Shubarshi,KZ,2021-12-28 08:27:56,48.5872,57.1869,27.41,95,100,4.36,light snow
10,Alibag,IN,2021-12-28 08:25:39,18.6411,72.8792,84.27,51,4,8.08,clear sky
11,Iquique,CL,2021-12-28 08:27:56,-20.2208,-70.1431,69.84,78,23,3.87,few clouds
12,Busselton,AU,2021-12-28 08:27:57,-33.65,115.3333,103.08,31,7,15.99,clear sky
13,Gagra,GE,2021-12-28 08:25:39,43.3283,40.2239,52.72,74,83,2.95,broken clouds
14,Hithadhoo,MV,2021-12-28 08:25:40,-0.6,73.0833,82.02,73,40,11.88,scattered clouds
15,Pisco,PE,2021-12-28 08:25:40,-13.7,-76.2167,67.01,94,90,5.75,overcast clouds
16,Ixtapa,MX,2021-12-28 08:25:41,20.7,-105.2,70.23,91,0,2.39,clear sky
17,Thurso,GB,2021-12-28 08:25:41,58.5927,-3.5259,39.15,90,100,4.65,overcast clouds
18,Razdolnoye,RU,2021-12-28 08:25:42,43.55,131.9167,9.01,66,7,0.63,clear sky
19,Punta Arenas,CL,2021-12-28 08:25:42,-53.15,-70.9167,44.71,70,20,5.75,few clouds
20,Brighton,GB,2021-12-28 08:22:27,50.8284,-0.1395,51.31,87,20,15.01,few clouds
21,Assis,BR,2021-12-28 08:25:43,-22.6617,-50.4122,71.49,64,74,2.86,broken clouds
22,Margate,GB,2021-12-28 08:25:43,51.3813,1.3862,51.96,91,100,4.0,overcast clouds
23,Isiro,CD,2021-12-28 08:25:44,2.7739,27.616,78.91,70,77,2.8,light rain
24,Santa Catalina,PH,2021-12-28 08:25:44,9.3337,122.8637,82.42,74,58,12.66,light rain
25,Coihueco,CL,2021-12-28 08:21:55,-36.6167,-71.8333,57.94,88,4,3.44,clear sky
26,Kahului,US,2021-12-28 08:28:00,20.8947,-156.47,73.42,70,1,10.36,clear sky
27,Bubaque,GW,2021-12-28 08:25:45,11.2833,-15.8333,79.0,66,54,5.06,broken clouds
28,Avarua,CK,2021-12-28 08:24:41,-21.2078,-159.775,75.25,78,40,4.61,scattered clouds
29,Ushuaia,AR,2021-12-28 08:15:53,-54.8,-68.3,42.46,75,75,11.5,broken clouds
30,Kapaa,US,2021-12-28 08:22:35,22.0752,-159.319,75.52,75,20,3.0,light rain
31,Narok,KE,2021-12-28 08:23:42,-1.0783,35.8601,74.28,45,100,8.72,overcast clouds
32,Iqaluit,CA,2021-12-28 08:18:29,63.7506,-68.5145,13.73,85,90,2.3,overcast clouds
33,Jamestown,US,2021-12-28 08:25:58,42.097,-79.2353,38.17,65,75,8.99,broken clouds
34,Barrow,US,2021-12-28 08:24:09,71.2906,-156.7887,-18.38,76,1,6.91,clear sky
35,Upernavik,GL,2021-12-28 08:25:46,72.7868,-56.1549,-5.06,74,81,4.92,broken clouds
